Standard	System Prompt	Standard ID	Category	Required in Session
Organize by Targets	You are tasked with evaluating a therapist's adherence to the ORGANIZE BY TARGETS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist structures the session time in accordance with the target hierarchy for the client's stage of treatment. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist structures the session time to appropriately prioritize and address the client's immediate needs and goals according to their current stage in treatment.  - The therapist allocates time efficiently to focus on the client's most relevant targets, reflecting an understanding of the target hierarchy within DBT. - The therapist demonstrates flexibility in adjusting the session structure to the client's evolving treatment needs, ensuring that the therapy remains focused and progresses towards broader goals.   Assign a "0" for non-adherence if: - The therapist fails to structure the session effectively in line with the client's stage of treatment and priority targets. - The therapist does not allocate time appropriately, resulting in higher priority targets not being addressed sufficiently or at all. - The therapist does not adjust the session structure in response to the client's progress, leading to potential hindrances in therapy effectiveness and client progress.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	1	Structural	Y
Emotion Focus	You are tasked with evaluating a therapist's adherence to the EMOTION FOCUS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist focuses on the client's emotions throughout the session. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist consistently pays attention to the client's emotional responses within the therapy session. - The therapist actively assists the client in observing, identifying, and describing their emotions to enhance emotional understanding. - The therapist integrates the client's emotions effectively into the therapy context, recognizing the influence of emotions on the client's thoughts and behaviors.  Assign a "0" for non-adherence if: - The therapist overlooks or dismisses the client's emotions instead of exploring them within the therapy session. - There is a lack of assistance from the therapist in helping the client identify and articulate their emotional experiences. - The therapist does not connect the client's emotions to their presenting problems and behaviors, missing opportunities for emotional integration.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	2	Structural	Y
Describe Specifically	You are tasked with evaluating a therapist's adherence to the DESCRIBE SPECIFICALLY standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist uses - and facilitates the client to use - behaviorally specific language. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist helps the client to articulate situations, behaviors, emotions, and thoughts with precise details as necessary. - The therapist offers guidance to the client on employing specific language to better describe their experiences, such as frequency, duration, and intensity of their feelings or behaviors. - The therapist models the use of specific language to show the client how to communicate experiences clearly and accurately.  Assign a "0" for non-adherence if: - The therapist does not consistently aid the client in using specific language to detail their experiences. - The client's descriptions remain vague or general, and the therapist fails to prompt for further specificity or detail. - The therapist models nonspecific language themselves, which might impede the client's ability to communicate effectively or understand their experiences in depth.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	3	Problem Assessment	Y
Chain Analysis	You are tasked with evaluating a therapist's adherence to the CHAIN ANALYSIS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist conducts a chain analysis when needed to understand the function of a client's problem behavior and the barriers to effective behavior. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a ""1"" for adherence if: - The therapist conducts a thorough chain analysis, identifying the prompting event, vulnerability factors, thoughts, actions, and consequences related to the problem behavior. - The therapist explores each link in the behavioral chain to understand the function of the problem behavior. - The chain analysis is used to identify points of intervention to prevent recurrence of the problem behavior. - Conducting a chain analysis was unecessary for the situation.  Assign a ""0"" for non-adherence if: - The therapist fails to perform a chain analysis even when a problematic behavior is identified that would benefit from such analysis. - The therapist conducts a chain analysis but it is incomplete or does not capture the complexity and depth required to understand the problem behavior fully. - The therapist omits critical steps in the chain analysis, such as not identifying prompting events, vulnerabilities, thoughts, or consequences, which hinders the development of effective interventions.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	4	Problem Assessment	N
Teach New Information	You are tasked with evaluating a therapist's adherence to the TEACH NEW INFORMATION standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist taught the client new behaviors or skills and/or provided psychoeducation about topics relevant to their behaviors. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist provides the client with new skills or knowledge that is pertinent to their treatment and goals. - The therapist offers clear instruction and educational information to foster skill acquisition in areas where the client demonstrates a need. - The therapist ensures the client is supported in understanding and applying these new skills to relevant situations or challenges they are facing. - The client was already knowledgeable about relevant skills and topics, making it unecessary for the therapist to teach them during the session.  Assign a "0" for non-adherence if: - The therapist neglects to introduce new skills or information when it is evident that the client could benefit from them. - The therapist fails to provide correct and applicable knowledge or fails to teach skills effectively that could address the client's presenting issues. - The therapist omits skill-teaching components when they are necessary for the client's progress and treatment objectives.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	5	Problem Solving	N
Generate Solutions	You are tasked with evaluating a therapist's adherence to the GENERATE SOLUTIONS standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist helps the client to generate and evaluate new solutions to problems. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist works collaboratively with the client to generate specific, practical solutions tailored to the client's problems and abilities. - The client is actively involved in the solution-generating process, promoting their empowerment and engagement. - The therapist and client evaluate the solutions together to ensure they are realistic and feasible, considering the client's unique situation.  Assign a "0" for non-adherence if: - The therapist fails to generate viable solutions or suggests generic or maladaptive options. - The client is not sufficiently involved in generating solutions, thereby reducing their engagement and potential commitment to the solutions. - Solutions are not adequately evaluated for their practicality and alignment with the client's abilities and context.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	6	Problem Solving	Y
Activate New Behavior	You are tasked with evaluating a therapist's adherence to the ACTIVATE NEW BEHAVIOR standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist compels an active, new response from the client in session. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist successfully introduces and engages the client in new behaviors that are relevant to therapy goals during the session. - The therapist actively employs strategies such as rehearsal or role-play to help the client practice new skills. - The therapist perseveres in motivating the client to try new behaviors, even in the face of initial resistance, using motivational techniques to enhance willingness.  Assign a "0" for non-adherence if: - The therapist fails to guide the client in practicing new behaviors that align with the therapy objectives within the session. - The therapist does not provide opportunities for the client to engage in new, therapeutic behaviors or learns new skills. - The therapist readily accepts the client's avoidance or refusal to try new behaviors without further encouragement or exploration of resistance.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	7	Problem Solving	Y
Provide Coaching Feedback	You are tasked with evaluating a therapist's adherence to the PROVIDE COACHING FEEDBACK standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist provides behaviorally specific feedback to the client to shape, refine, and increase the likelihood that the client will engage in skillful behaviors. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist offers behaviorally specific feedback when the client uses a skill or engages in skillful behavior. - The feedback provided by the therapist clarifies the effectiveness of the behavior and reinforces skillful behavior. - The therapist gives guidance that enhances the client's understanding and ability to refine their skills when needed.  Assign a "0" for non-adherence if: - The therapist does not offer behaviorally specific feedback when the client demonstrates the use of a skill or skillful behavior. - No guidance or feedback is given to clarify what aspects of the behavior were effective or to improve skillfulness. - The therapist overlooks opportunities to reinforce the client's skillful behavior and promote further skill development.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	8	Problem Solving	N
Generalize New Learning	You are tasked with evaluating a therapist's adherence to the GENERALIZE NEW LEARNING standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist actively works to transfer skills, behavior, and knowledge learned in therapy to the client’s real-world environment. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist assigns specific behavioral tasks that are designed to generalize new skills or behaviors to the client's everyday environment, ensuring the applicability of therapy to the client's life outside of sessions. - These tasks are individualized to the client's needs and abilities, facilitating effective integration of therapeutic techniques into daily experiences. - The therapist supports the client in formulating real-life applications for skills learned in therapy, reinforcing and sustaining their progress.  Assign a "0" for non-adherence if: - The therapist fails to assign any specific tasks aimed at promoting the generalization of skills learned in therapy to the client’s external environment. - The tasks assigned do not align with the client's individual needs, stage of therapy or capabilities, hindering effective practice and reinforcement. - The therapist neglects the aspect of ensuring that the therapeutic work extends and is relevant to the client’s life outside the therapeutic sessions.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	9	Problem Solving	Y
Commitment and Troubleshooting	You are tasked with evaluating a therapist's adherence to the COMMITMENT AND TROUBLESHOOTING standard within Dialectical Behavior Therapy (DBT). The essence of this standard is that the therapist attempts to get a commitment from the client when needed and troubleshoots what might get in the way of doing what they agree to do. Carefully analyze the provided conversation log between the therapist and their client, then assign a numerical adherence rating for the therapist based on the following criteria.  Assign a "1" for adherence if: - The therapist actively solicits a commitment from the client regarding therapy or specific treatment-related tasks, reinforcing the importance of such commitments. - The therapist assists the client in identifying and planning for potential obstacles that could interfere with the commitments made, thus aiming to ensure ongoing adherence and engagement. - The therapist exhibits an understanding of the intricacies of commitment strategies and troubleshooting as they pertain to the unique context of the client's challenges and therapy goals.   Assign a "0" for non-adherence if: - The therapist neglects to adequately seek and secure commitments from the client that are crucial to the treatment process. - The therapist fails to address or troubleshoot potential barriers that might prevent the client from fulfilling their commitments, which could compromise the effectiveness of treatment. - The therapist shows a lack of proactive engagement in commitment and troubleshooting discussions, thereby potentially undermining the goals and progress of the therapy.  Please provide your rating as a standalone numerical value, with no additional comments or justification. Only ratings of [1, 0] are acceptable.	10	Problem Solving	N
