Title	Initial Message	Target Skill IDs	id
Solo Wake Planning	My grandmother passed away two days ago and everyone in my family has been busy grieving so I've been picking up all the preparations for her wake. I haven't had a chance to stop but if I don't take care of everything, I don't think anyone else will.	['M1']	bc97e560-2f17-40c6-bbbc-cf1455e5536b
Midnight Mind Marathons	I have a hard time falling asleep at night. I keep thinking about things I have to do at work and errands I have to run.	['M2']	817c2b6f-51bf-401c-8b06-cdf9f83b5948
Awaking Exhausted	I have been ruminating before falling asleep and end up waking up tired every morning.	['M3', 'ER8']	a26af177-cf8b-41f0-b286-3a1f536544af
Distracted Amongst Friends	Oftentimes when I'm with my friends, I am sitting with them but my mind is somewhere else and it's making me feel lonely.	['M4']	4f57e28b-1c11-437c-a067-a725c3b3dd32
Tears Trump Talk	Everytime I try to bring up a concern with my partner, I get really annoying because I start crying. We even stop talking about the concern and he focuses on getting me to stop crying.	['M5']	8ad366a9-643d-4a93-8716-f7df4447d79e
Work-From-Home Fatigue	I have been working for home for the past 3 years but find myself being tired at the end of the work day, with no energy to do anything else. I try to reduce my stress in the middle of the day by having lunch while watching TV, but this doesn't seem to be working for me.	['M6']	b652dc24-20e4-413c-b2b0-e9729d7d5c8c
Meetings Devour Lunch	I have been trying to take better care of myself, but find it hard to eat healthy because my work meetings often invade my lunch time, so I have to heat up an instant lunch. This doesn't nurture me though and I get a stomachache towards the end of the day.	['M7']	9c8ef3c4-2935-4ca8-b4a6-16984ae499be
Betrayal Amidst Illness	My wife recently divorced me. She had been been cheating on me and just recently talked to me about it and told me she wasn't happy in our marriage anymore. I had also recently been diagnosed with a form of cancer and now I'm facing that completely alone. It feels as if the world hates me.	['M8']	011948a4-a9e8-4259-85b3-e2e50fd42e83
Loneliness in Frugality	I've been trying to save money so I have stopped going out with friends because they always go out to eat at restaurants, but now I'm getting lonely.	['M9']	c2289ef0-41ba-4c6f-85b5-38d8e6a350d1
Demanding Project Partner	I am doing a school project in pairs that will last the whole semester. My teammate is super intense, they want us to get to class early and practice our presentations. They also ask me if I can do my part of the deliverable 1 week before the due date so they can review it. It makes me feel stressed on top of the tons of things I have to do with my extracurricular activity.	['IE1']	0e376f00-989f-4070-869d-1a2ed7d03444
Parenting Under Pressure	My mom keeps hounding me about how I'm doing everything wrong with my newborn kid. She's always criticizing me and I need her top stop butting in and let me take care of my son, but I don't want to hurt her feelings.	['IE2', 'IE3', 'IE4']	b2afe013-daa4-4cf1-9f4a-64a1800d0e9f
No Room for Dad	My dad is feeling pretty lonely since my mom died 6 months ago. Last week he asked me whether he could move in with us, and I want to help him, but with a new kid on the way, I don't see how my partner or I could handle that situation right now.	['IE5']	f77ac747-2211-4a28-bda8-b436dc67b3ec
Office Outcast	Everyone at work hates me. I started 2 months ago and everyone already has their own groups. I know they're constantly laughing at my stupidity and I will never fit in.	['IE6', 'IE7']	4e5eba92-4b4a-41c5-a65c-178cf3f39aed
Side-Eye Saturdays	My best friend of 10 years and I go for dinner every Saturday. When coming home, I've recently noticed that I feel worse than when I left home. There's so much going on in her life and she constantly complains about everything. I try my best to listen to her, but I feel like this is starting to affect me and my mood. I'm not sure this is the best relationship for me anymore.	['IE8']	3094302d-b559-44c2-83c9-5fb5a6a2974c
FOMO vs Fatigue	I really wanted to see my friends but today I woke up feeling extremely drained. I don't want to cancel on them because I'm worried that they'll think I don't care about them.	['IE9']	9f14c3c5-5470-437d-a699-f682a2462cee
Sibling Time Sidelined	My brother recently got a new girlfriend and he's spending so much time with her that I don't get to see him anymore. We used to hang out all the time and play video games and now I'm feeling so alone.	['IE9']	d164c4c4-ce86-46f8-b2d1-cf2513e9a32e
Teen's School Refusal	My teenager doesn't want to go to school. Whenever I ask him, he says I just don't understand, and I don't make an effort to hear him out, but he has got to school.	['IE10']	0fb5b9b5-bf9b-4aa5-892d-e7b225828190
Handbook Habit Hinting	I am mentoring a new hire at work and they keep asking me questions that are documented in our handbook. How can I get them to start leveraging that instead of pinging me all the time?	['IE11']	e3061b30-9ced-4932-b50b-4de44f612ef0
